"word","n"
"memastikan",2
"membersihkan",2
"memiliki",2
"mempelajari",2
"memperoleh",2
"mendapat",2
"mengaplikasikan",2
"mengenal",2
"mengikuti",2
"mengubah",2
"meningkatkan",2
"mereka",2
"merugikan",2
"merupakan",2
"meskipun",2
"mungkin",2
"oleh",2
"pekerjaan",2
"pembagian",2
"pembersih",2
"penerapan",2
"pengaplikasiannya",2
"pengelolaan",2
"perbedaan",2
"pertumbuhan",2
"pola",2
"produk",2
"repellent",2
"sarangnya",2
"sehari",2
"sekaligus",2
"selalu",2
"semut",2
"sering",2
"sesuatu",2
"sisa",2
"tau",2
"tepat",2
"termasuk",2
"tersebut",2
"tujuan",2
"warga",2
"wawasan",2
"yaa",2
"ahli",1
"air",1
"akhirnya",1
"alat",1
"alus",1
"anang",1
"apa",1
"apabila",1
"apalagi",1
"apapun",1
"aplikatif",1
"arahan",1
"awal",1
"bagus",1
"bahu",1
"bapak",1
"batang",1
"bentuk",1
"beraktivitas",1
"berbagi",1
"berbahaya",1
"berbeda",1
"berdasarkan",1
"berhubungan",1
"berinteraksi",1
"berkelanjutan",1
"berkelompok",1
"berkontribusi",1
"berkoordinasi",1
"berlangsung",1
"bermakna",1
"berpengalaman",1
"bertanggung",1
"biasanya",1
"bijak",1
"bimbingan",1
"biologi",1
"caranya",1
"catat",1
"cindai",1
"complete",1
"cotton",1
"cutton",1
"dampingi",1
"dasar",1
"data",1
"datang",1
"deva",1
"diajari",1
"diaplikasikan",1
"diarea",1
"dibandingkan",1
"dicampur",1
"dicari",1
"dicoba",1
"didekat",1
"diharapkan",1
"dijadikan",1
"dijaga",1
"dijangkau",1
"dikemas",1
"dikerjakan",1
"dilaksanakan",1
"dilapangan",1
"dilestarikan",1
"dilingkungan",1
"dioles",1
"diri",1
"disekitar",1
"disekitarnya",1
"disemprot",1
"diskusi",1
"ditanamkan",1
"diwujudkan",1
"dokumentasi",1
"dosen",1
"edukatif",1
"efektivitas",1
"ego",1
"ekosistemnya",1
"ekossistem",1
"eksternal",1
"fermentasi",1
"fokus",1
"foraging",1
"gangguan",1
"guna",1
"harapannya",1
"harmonis",1
"hasilnya",1
"hewan",1
"hingga",1
"identifikasi",1
"identitas",1
"informatif",1
"insektisida",1
"iya",1
"jawab",1
"jika",1
"kadal",1
"kak",1
"kalangan",1
"kan",1
"kapas",1
"keberlangsungan",1
"kebersamaan",1
"kecoak",1
"kecuali",1
"kelancaran",1
"keluarga",1
"kemarin",1
"kemasyarakat",1
"kembali",1
"kenyamanan",1
"kepda",1
"keren",1
"kesadaran",1
"kesejahteraan",1
"kestabilan",1
"ketenangan",1
"keterampilan",1
"khususnya",1
"kimia",1
"kolini",1
"komitmen",1
"kompleksitas",1
"koordinasi",1
"kumbang",1
"kurang",1
"lainnya",1
"lakukan",1
"latihan",1
"lingkungannya",1
"luas",1
"lumayan",1
"madu",1
"maka",1
"mana",1
"manfaatnya",1
"matkul",1
"maupun",1
"melainkan",1
"melakukannya",1
"melatih",1
"melestarikan",1
"melibatkan",1
"melindungi",1
"memanfaatkannya",1
"memang",1
"membagi",1
"membahu",1
"membedakan",1
"membuang",1
"memengaruhi",1
"memerlukan",1
"memikirkan",1
"mempengaruhi",1
"mempertimbangkan",1
"menambah",1
"mencari",1
"mencegah",1
"mencoba",1
"mendokumentasikannya",1
"menekankan",1
"meneliti",1
"menemukan",1
"menerapkan",1
"mengajak",1
"mengelola",1
"mengenai",1
"mengenalkan",1
"mengendalikan",1
"mengetahui",1
"mengganggunya",1
"menggangu",1
"menghargai",1
"menghubungkan",1
"mengidentifikasi",1
"mengobservasi",1
"menguras",1
"meningkat",1
"menumbuhkan",1
"menurut",1
"menyaksikan",1
"menyenangkan",1
"menyesuaikan",1
"merasakan",1
"meringankan",1
"meter",1
"mikroorganisme",1
"minta",1
"misalnya",1
"molase",1
"momen",1
"mudah",1
"mulai",1
"mutu",1
"nya",1
"observasi",1
"observasu",1
"pakan",1
"panduan",1
"pelaksanaannya",1
"pelihat",1
"pelindung",1
"pemahaman",1
"pemanfaatannya",1
"pemberian",1
"pemikiran",1
"pencatatan",1
"pencegahan",1
"pencegahannya",1
"pendalaman",1
"penerapannya",1
"pengaruh",1
"pengembangan",1
"pengendalian",1
"pengerjaan",1
"pengganggu",1
"pengurai",1
"pengusir",1
"peningkatan",1
"penjelasan",1
"penolak",1
"penyemprotan",1
"penyerbukan",1
"perannya",1
"percaya",1
"perkebunan",1
"perkuliahan",1
"perlengkapan",1
"pernah",1
"perusak",1
"produkci",1
"propolis",1
"puas",1
"pula",1
"rasa",1
"rawat",1
"ringan",1
"salah",1
"sambil",1
"sana",1
"sarana",1
"satu",1
"sayur",1
"sebaya",1
"sebisa",1
"sedangkan",1
"sedikit",1
"segala",1
"sekadar",1
"sekecil",1
"sekitaran",1
"sekitarnya",1
"selaku",1
"seluruh",1
"semakin",1
"sembarangan",1
"semoga",1
"sempat",1
"semua",1
"seorang",1
"sepi",1
"setalah",1
"siang",1
"solusi",1
"spesifik",1
"stup",1
"sulit",1
"tahapan",1
"tanah",1
"tangan",1
"tempat",1
"tenaga",1
"tentu",1
"tentunya",1
"teoritis",1
"terampil",1
"terapkan",1
"terasa",1
"teratur",1
"terbukti",1
"terdapat",1
"terganggu",1
"tergolong",1
"terjun",1
"terkadang",1
"terkena",1
"terlaksana",1
"terlalu",1
"terlewatkan",1
"ternak",1
"terpanggil",1
"terstruktur",1
"tertarik",1
"tumpukan",1
"turun",1
"udara",1
"upaya",1
"utama",1
"wacana",1
"waktu",1
"wawa",1
"yaaa",1
